category,name,price in £,rating star(s)
Sequential Art,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5
Sequential Art,"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5
Sequential Art,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,3
Sequential Art,Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,1
Sequential Art,Original Fake,31.45,3
Sequential Art,"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,1
Sequential Art,"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,2
Sequential Art,"Black Butler, Vol. 1 (Black Butler #1)",49.31,1
Sequential Art,Awkward,38.02,2
Sequential Art,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1
Sequential Art,"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3
Sequential Art,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5
Sequential Art,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4
Sequential Art,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,2
Sequential Art,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,3
Sequential Art,The Complete Maus (Maus #1-2),10.64,3
Sequential Art,"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,3
Sequential Art,"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,1
Sequential Art,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,5
Sequential Art,"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4
Sequential Art,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3
Sequential Art,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4
Sequential Art,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,3
Sequential Art,"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4
Sequential Art,"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,5
Sequential Art,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,5
Sequential Art,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4
Classics,The Secret Garden,15.08,4
Classics,The Metamorphosis,28.58,1
Classics,The Pilgrim's Progress,50.26,2
Classics,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2
Classics,Little Women (Little Women #1),28.07,4
Classics,Gone with the Wind,32.49,3
Classics,Candide,58.63,3
Classics,Animal Farm,57.22,3
Classics,Wuthering Heights,17.73,3
Classics,The Picture of Dorian Gray,29.7,2
Classics,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4
Classics,Beowulf,38.35,2
Classics,And Then There Were None,35.01,2
Classics,The Story of Hong Gildong,43.19,4
Classics,The Little Prince,45.42,2
Classics,Sense and Sensibility,37.46,1
Classics,Of Mice and Men,47.11,2
Classics,Emma,32.93,2
Classics,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1
Philosophy,Sophie's World,15.94,5
Philosophy,The Death of Humanity: and the Case for Life,58.11,4
Philosophy,The Stranger,17.44,4
Philosophy,Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1
Philosophy,Kierkegaard: A Christian Missionary to Christians,47.13,1
Philosophy,"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5
Philosophy,Critique of Pure Reason,20.75,1
Philosophy,"Run, Spot, Run: The Ethics of Keeping Pets",20.02,1
Philosophy,The Nicomachean Ethics,36.34,1
Philosophy,Meditations,25.89,2
Philosophy,Beyond Good and Evil,43.38,1
Romance,Chase Me (Paris Nights #2),25.27,5
Romance,Black Dust,34.53,5
Romance,Her Backup Boyfriend (The Sorensen Family #1),33.97,1
Romance,First and First (Five Boroughs #3),15.97,4
Romance,Fifty Shades Darker (Fifty Shades #2),21.96,1
Romance,The Wedding Dress,24.12,1
Romance,Suddenly in Love (Lake Haven #1),55.99,2
Romance,Something More Than This,16.24,4
Romance,Doing It Over (Most Likely To #1),35.61,3
Romance,The Wedding Pact (The O'Malleys #2),32.61,3
Romance,Hold Your Breath (Search and Rescue #1),28.82,1
Romance,Dirty (Dive Bar #1),40.83,4
Romance,Take Me Home Tonight (Rock Star Romance #3),53.98,3
Romance,Off the Hook (Fishing for Trouble #1),47.67,3
Romance,A Gentleman's Position (Society of Gentlemen #3),14.75,5
Romance,"Sit, Stay, Love",20.9,3
Romance,A Girl's Guide to Moving On (New Beginnings #2),31.3,1
Romance,The Perfect Play (Play by Play #1),59.99,3
Romance,Dark Lover (Black Dagger Brotherhood #1),12.87,1
Romance,Changing the Game (Play by Play #2),13.38,3
Romance,A Walk to Remember,56.43,1
Romance,The Purest Hook (Second Circle Tattoos #3),12.25,1
Romance,The Obsession,45.43,1
Romance,Reservations for Two,11.1,3
Romance,Best of My Love (Fool's Gold #20),27.41,2
Romance,Where Lightning Strikes (Bleeding Stars #3),39.77,3
Romance,This One Moment (Pushing Limits #1),48.71,1
Romance,"Rhythm, Chord & Malykhin",28.34,2
Romance,My Perfect Mistake (Over the Top #1),38.92,2
Romance,Listen to Me (Fusion #1),58.99,3
Romance,Imperfect Harmony,34.74,4
Romance,Fighting Fate (Fighting #6),39.24,3
Romance,Deep Under (Walker Security #1),47.09,5
Romance,Charity's Cross (Charles Towne Belles #4),41.24,1
Romance,Bounty (Colorado Mountain #7),37.26,4
Womens Fiction,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4
Womens Fiction,Will You Won't You Want Me?,13.86,3
Womens Fiction,Keep Me Posted,20.46,4
Womens Fiction,Grey (Fifty Shades #4),48.49,4
Womens Fiction,Meternity,43.58,3
Womens Fiction,Some Women,13.73,5
Womens Fiction,Shopaholic Ties the Knot (Shopaholic #3),48.39,5
Womens Fiction,Can You Keep a Secret?,21.94,1
Womens Fiction,Twenties Girl,42.8,2
Womens Fiction,The Undomestic Goddess,45.75,4
Womens Fiction,The Nanny Diaries (Nanny #1),52.53,5
Womens Fiction,The Devil Wears Prada (The Devil Wears Prada #1),44.29,1
Womens Fiction,Something Borrowed (Darcy & Rachel #1),48.96,5
Womens Fiction,Something Blue (Darcy & Rachel #2),54.62,1
Womens Fiction,I've Got Your Number,19.69,1
Womens Fiction,The Edge of Reason (Bridget Jones #2),19.18,4
Womens Fiction,Bridget Jones's Diary (Bridget Jones #1),29.82,1
Fiction,Soumission,50.1,1
Fiction,Private Paris (Private #10),47.61,5
Fiction,"We Love You, Charlie Freeman",50.27,5
Fiction,Thirst,17.27,5
Fiction,The Murder That Never Was (Forensic Instincts #5),54.11,3
Fiction,Tuesday Nights in 1980,21.04,2
Fiction,The Vacationers,42.15,4
Fiction,The Regional Office Is Under Attack!,51.36,5
Fiction,Finders Keepers (Bill Hodges Trilogy #2),53.53,5
Fiction,The Time Keeper,27.88,5
Fiction,The Testament of Mary,52.67,4
Fiction,The First Hostage (J.B. Collins #2),25.85,3
Fiction,Take Me with You,45.21,3
Fiction,Still Life with Bread Crumbs,26.41,3
Fiction,Shtum,55.84,4
Fiction,My Name Is Lucy Barton,41.56,1
Fiction,My Mrs. Brown,24.48,3
Fiction,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1
Fiction,I Am Pilgrim (Pilgrim #1),10.6,4
Fiction,Eligible (The Austen Project #4),27.09,3
Fiction,Eight Hundred Grapes,14.39,4
Fiction,Dear Mr. Knightley,11.21,5
Fiction,Cometh the Hour (The Clifton Chronicles #6),25.01,3
Fiction,Balloon Animals,17.03,3
Fiction,A Man Called Ove,39.72,1
Fiction,The Silent Sister (Riley MacPherson #1),46.29,5
Fiction,The Dinner Party,56.54,2
Fiction,The Improbability of Love,59.45,1
Fiction,Mothering Sunday,13.34,2
Fiction,Lies and Other Acts of Love,45.14,1
Fiction,Daredevils,16.34,3
Fiction,11/22/63,48.48,3
Fiction,The Shack,28.03,1
Fiction,The High Mountains of Portugal,51.15,1
Fiction,Miller's Valley,58.54,2
Fiction,Hystopia: A Novel,21.96,4
Fiction,The Bourne Identity (Jason Bourne #1),42.78,4
Fiction,Sister Dear,40.2,4
Fiction,Memoirs of a Geisha,49.67,3
Fiction,Me Before You (Me Before You #1),19.02,1
Fiction,Deception Point,40.32,4
Fiction,The Little Paris Bookshop,24.73,3
Fiction,The Firm,45.56,3
Fiction,The Expatriates,44.58,2
Fiction,Siddhartha,34.22,5
Fiction,Last One Home (New Beginnings #1),59.98,3
Fiction,Digital Fortress,58.0,5
Fiction,Atlas Shrugged,26.58,5
Fiction,Three-Martini Lunch,23.21,3
Fiction,The Nightingale,26.26,4
Fiction,The Infinities,27.41,1
Fiction,The Husband's Secret,52.51,5
Fiction,The Da Vinci Code (Robert Langdon #2),22.96,2
Fiction,The Art of Fielding,22.1,1
Fiction,Lila (Gilead #3),12.47,3
Fiction,Jurassic Park (Jurassic Park #1),44.97,1
Fiction,Inferno (Robert Langdon #4),41.0,5
Fiction,Crazy Rich Asians (Crazy Rich Asians #1),49.13,5
Fiction,Big Little Lies,22.11,1
Fiction,The Course of Love,16.78,3
Fiction,When I'm Gone,51.96,3
Fiction,The Silent Wife,12.34,5
Fiction,The Bette Davis Club,30.66,3
Fiction,Kitchens of the Great Midwest,57.2,5
Fiction,Bright Lines,39.07,5
Childrens,Birdsong: A Story in Pictures,54.64,3
Childrens,The Bear and the Piano,36.89,1
Childrens,The Secret of Dreadwillow Carse,56.13,1
Childrens,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4
Childrens,Little Red,13.47,3
Childrens,Walt Disney's Alice in Wonderland,12.96,5
Childrens,Twenty Yawns,22.08,2
Childrens,Rain Fish,23.57,3
Childrens,Once Was a Time,18.28,2
Childrens,Luis Paints the World,53.95,3
Childrens,Nap-a-Roo,25.08,1
Childrens,The Whale,35.96,4
Childrens,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,3
Childrens,Raymie Nightingale,34.41,2
Childrens,Playing from the Heart,32.38,1
Childrens,Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,1
Childrens,The Wild Robot,56.07,3
Childrens,The Thing About Jellyfish,48.77,1
Childrens,The Lonely Ones,43.59,5
Childrens,The Day the Crayons Came Home (Crayons),26.33,5
Childrens,The Cat in the Hat (Beginner Books B-1),16.26,2
Childrens,Red: The True Story of Red Riding Hood,28.54,3
Childrens,Horrible Bear!,37.52,2
Childrens,Green Eggs and Ham (Beginner Books B-16),10.79,4
Childrens,Counting Thyme,10.62,1
Childrens,Are We There Yet?,10.66,3
Childrens,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,4
Childrens,Matilda,28.34,1
Childrens,Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,3
Religion,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2
Religion,You Are What You Love: The Spiritual Power of Habit,21.87,4
Religion,God: The Most Unpleasant Character in All Fiction,30.03,5
Religion,The Book of Mormon,24.57,3
Religion,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,1
Religion,The Bhagavad Gita,57.49,3
Religion,Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,4
Nonfiction,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5
Nonfiction,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3
Nonfiction,Reasons to Stay Alive,26.41,2
Nonfiction,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5
Nonfiction,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4
Nonfiction,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3
Nonfiction,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3
Nonfiction,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1
Nonfiction,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1
Nonfiction,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4
Nonfiction,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2
Nonfiction,In the Country We Love: My Family Divided,22.0,4
Nonfiction,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2
Nonfiction,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5
Nonfiction,Algorithms to Live By: The Computer Science of Human Decisions,30.81,1
Nonfiction,The Power of Now: A Guide to Spiritual Enlightenment,43.54,2
Nonfiction,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2
Nonfiction,The Genius of Birds,17.24,1
Nonfiction,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5
Nonfiction,So You've Been Publicly Shamed,12.23,2
Nonfiction,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3
Nonfiction,Big Magic: Creative Living Beyond Fear,30.8,3
Nonfiction,Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2
Nonfiction,Agnostic: A Spirited Manifesto,12.51,5
Nonfiction,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4
Nonfiction,What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2
Nonfiction,The Year of Magical Thinking,43.04,2
Nonfiction,The Literature Book (Big Ideas Simply Explained),17.43,3
Nonfiction,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,1
Nonfiction,Swell: A Year of Waves,45.58,1
Nonfiction,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2
Nonfiction,Looking for Lovely: Collecting the Moments that Matter,29.14,5
Nonfiction,Let It Out: A Journey Through Journaling,26.79,5
Nonfiction,Hamilton: The Revolution,58.79,3
Nonfiction,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4
Nonfiction,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5
Nonfiction,Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4
Nonfiction,Brain on Fire: My Month of Madness,49.32,5
Nonfiction,Abstract City,56.37,5
Nonfiction,13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1
Nonfiction,The Lonely City: Adventures in the Art of Being Alone,33.26,2
Nonfiction,The Diary of a Young Girl,59.9,3
Nonfiction,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3
Nonfiction,Furiously Happy: A Funny Book About Horrible Things,41.46,4
Nonfiction,"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4
Nonfiction,"Mother, Can You Not?",16.89,5
Nonfiction,A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,3
Nonfiction,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,2
Nonfiction,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,2
Nonfiction,"Zero to One: Notes on Startups, or How to Build the Future",34.06,3
Nonfiction,Why Not Me?,17.76,1
Nonfiction,When Breath Becomes Air,39.36,2
Nonfiction,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4
Nonfiction,Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,5
Nonfiction,Rising Strong,21.82,3
Nonfiction,Man's Search for Meaning,29.48,3
Nonfiction,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,2
Nonfiction,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,3
Nonfiction,I Will Find You,44.21,1
Nonfiction,Brazen: The Courage to Find the You That's Been Hiding,19.22,2
Nonfiction,Between the World and Me,56.91,4
Nonfiction,Being Mortal: Medicine and What Matters in the End,55.06,4
Nonfiction,"A Murder Over a Girl: Justice, Gender, Junior High",13.2,3
Nonfiction,For the Love: Fighting for Grace in a World of Impossible Standards,45.13,3
Nonfiction,Finding God in the Ruins: How God Redeems Pain,46.64,2
Nonfiction,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,4
Nonfiction,In Cold Blood,49.98,4
Nonfiction,"Girl, Interrupted",42.14,3
Nonfiction,Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,2
Nonfiction,Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,4
Nonfiction,My Mother Was Nuts,31.63,4
Nonfiction,"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,3
Nonfiction,The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,3
Nonfiction,The Gunning of America: Business and the Making of American Gun Culture,16.81,4
Nonfiction,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,2
Nonfiction,God Is Not Great: How Religion Poisons Everything,27.8,1
Nonfiction,We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,3
Nonfiction,Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,3
Nonfiction,"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,1
Nonfiction,Under the Banner of Heaven: A Story of Violent Faith,30.0,1
Nonfiction,"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,1
Nonfiction,The Name of God is Mercy,37.25,2
Nonfiction,Stiff: The Curious Lives of Human Cadavers,36.74,3
Nonfiction,Spilled Milk: Based on a True Story,49.51,1
Nonfiction,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,4
Nonfiction,Outliers: The Story of Success,14.16,1
Nonfiction,Notes from a Small Island (Notes From a Small Island #1),40.17,1
Nonfiction,Night (The Night Trilogy #1),13.51,1
Nonfiction,"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,1
Nonfiction,Letter to a Christian Nation,22.2,1
Nonfiction,Let's Pretend This Never Happened: A Mostly True Memoir,45.11,1
Nonfiction,It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,1
Nonfiction,Into the Wild,56.7,5
Nonfiction,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85,3
Nonfiction,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88,2
Nonfiction,Gratitude,26.66,5
Nonfiction,Disrupted: My Misadventure in the Start-Up Bubble,15.28,5
Nonfiction,Brave Enough,51.32,5
Nonfiction,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",27.35,2
Nonfiction,Blink: The Power of Thinking Without Thinking,21.74,5
Nonfiction,Black Flags: The Rise of ISIS,40.87,1
Nonfiction,Are We Smart Enough to Know How Smart Animals Are?,56.58,1
Nonfiction,A Walk in the Woods: Rediscovering America on the Appalachian Trail,30.48,4
Nonfiction,"The Suffragettes (Little Black Classics, #96)",11.89,2
Nonfiction,Kindle Paperwhite User's Guide,34.0,3
Nonfiction,H is for Hawk,57.42,5
Nonfiction,Travels with Charley: In Search of America,57.82,5
Nonfiction,The Tumor,41.56,5
Nonfiction,The End of the Jesus Era (An Investigation #1),14.4,1
Nonfiction,"Eat, Pray, Love",51.32,3
Music,Rip it Up and Start Again,35.02,5
Music,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3
Music,How Music Works,37.32,2
Music,Love Is a Mix Tape (Music #1),18.03,1
Music,Please Kill Me: The Uncensored Oral History of Punk,31.19,4
Music,Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,5
Music,"Chronicles, Vol. 1",52.6,2
Music,This Is Your Brain on Music: The Science of a Human Obsession,38.4,1
