Order No,User Id,Vehicle Type,Platform Type,Personal or Business,Placement - Day of Month,Placement - Weekday (Mo = 1),Placement - Time,Confirmation - Day of Month,Confirmation - Weekday (Mo = 1),Confirmation - Time,Arrival at Pickup - Day of Month,Arrival at Pickup - Weekday (Mo = 1),Arrival at Pickup - Time,Pickup - Day of Month,Pickup - Weekday (Mo = 1),Pickup - Time,Arrival at Destination - Day of Month,Arrival at Destination - Weekday (Mo = 1),Arrival at Destination - Time,Distance (KM),Temperature,Precipitation in millimeters,Pickup Lat,Pickup Long,Destination Lat,Destination Long,Rider Id,Time from Pickup to Arrival
1211,3222,Bike,3,Business,13,4,2:42:33 PM,13,4,2:43:54 PM,13,4,2:53:49 PM,13,4,2:58:13 PM,13,4,3:11:53 PM,3,22.3,,-1.2551895,36.7822034,-1.2676026,36.8103629,523,820
5857,788,Bike,3,Business,8,5,5:01:08 PM,8,5,5:02:32 PM,8,5,5:07:13 PM,8,5,5:11:57 PM,8,5,5:39:06 PM,7,25.3,,-1.2584143,36.8048002,-1.225322,36.80855,903,1629
9676,393,Bike,3,Business,28,1,11:47:23 AM,28,1,1:01:54 PM,28,1,1:02:08 PM,28,1,1:35:48 PM,28,1,1:35:50 PM,4,26.3,,-1.3167113,36.8301563,-1.3004062,36.829741,619,2
27859,142,Bike,3,Business,30,3,1:17:29 PM,30,3,1:18:11 PM,30,3,1:28:47 PM,30,3,1:34:12 PM,30,3,1:57:14 PM,8,29.2,,-1.2570328,36.7869744,-1.2963097,36.7688221,328,1382
20416,1015,Bike,1,Personal,7,1,4:01:21 PM,7,1,4:19:41 PM,7,1,4:41:46 PM,7,1,5:05:05 PM,7,1,5:38:09 PM,9,20.0,,-1.3331402,36.8925275,-1.3793096,36.9310421,521,1984
21067,1245,Bike,3,Business,14,4,8:35:04 AM,14,4,8:36:10 AM,14,4,8:42:35 AM,14,4,8:55:16 AM,14,4,9:27:37 AM,16,18.0,,-1.2602337,36.7990548,-1.3198615,36.7110323,427,1941
15011,2634,Bike,3,Business,31,5,11:26:37 AM,31,5,11:29:06 AM,31,5,11:29:13 AM,31,5,11:33:16 AM,31,5,12:17:07 PM,21,21.6,,-1.2963097,36.7688221,-1.3160977,36.9131642,330,2631
18612,379,Bike,1,Personal,7,2,1:59:23 PM,7,2,1:59:54 PM,7,2,2:23:42 PM,7,2,2:39:04 PM,7,2,3:42:29 PM,8,24.8,,-1.2655332,36.8094648,-1.2729217,36.7624829,229,3805
4889,2869,Bike,3,Business,24,3,4:57:28 PM,24,3,4:57:59 PM,24,3,5:16:11 PM,24,3,5:51:50 PM,24,3,6:26:37 PM,16,,,-1.225322,36.80855,-1.3025826,36.7670807,484,2087
27861,407,Bike,2,Personal,27,4,1:15:54 PM,27,4,1:16:46 PM,27,4,1:21:22 PM,27,4,1:26:55 PM,27,4,1:52:35 PM,21,23.0,,-1.301796,36.8012024,-1.3533402,36.9078924,844,1540
2363,2869,Bike,3,Business,3,3,2:11:49 PM,3,3,2:16:34 PM,3,3,2:37:07 PM,3,3,2:42:20 PM,3,3,3:17:46 PM,9,28.1,,-1.3025826,36.7670807,-1.2551895,36.7822034,477,2126
13052,250,Bike,2,Personal,16,4,11:19:46 AM,16,4,11:20:52 AM,16,4,11:33:06 AM,16,4,11:34:35 AM,16,4,11:45:03 AM,2,14.7,,-1.2642903,36.8002137,-1.269534,36.80697,650,628
14365,3641,Bike,3,Business,26,2,2:22:29 PM,26,2,2:45:33 PM,26,2,2:49:55 PM,26,2,2:52:46 PM,26,2,3:18:05 PM,8,,,-1.2551895,36.7822034,-1.2998903,36.8179213,726,1519
16595,1119,Bike,1,Personal,27,4,3:09:20 PM,27,4,3:25:10 PM,27,4,3:53:55 PM,27,4,3:55:27 PM,27,4,4:31:39 PM,18,25.0,,-1.3832336,36.7647372,-1.3208162,36.8451209,676,2172
12932,2102,Bike,3,Business,18,1,12:29:42 PM,18,1,12:29:55 PM,18,1,12:38:13 PM,18,1,12:43:20 PM,18,1,1:11:25 PM,15,26.7,,-1.3323107,36.8692616,-1.2613768,36.8019418,650,1685
10939,1976,Bike,3,Business,7,2,11:05:53 AM,7,2,11:07:35 AM,7,2,11:11:54 AM,7,2,11:15:54 AM,7,2,11:42:51 AM,12,,,-1.257028,36.7810435,-1.3073569,36.8202163,647,1617
1131,2761,Bike,3,Personal,21,5,10:54:37 AM,21,5,10:55:49 AM,21,5,11:10:49 AM,21,5,11:12:36 AM,21,5,11:39:57 AM,11,23.0,,-1.3038645,36.8684596,-1.2950041,36.8143583,675,1641
15298,3686,Bike,3,Business,9,3,10:11:22 AM,9,3,10:11:27 AM,9,3,10:11:32 AM,9,3,10:17:20 AM,9,3,10:51:09 AM,19,17.6,0.8,-1.255956,36.789867,-1.334474,36.88389,771,2029
27809,3326,Bike,3,Business,13,4,4:16:05 PM,13,4,4:16:23 PM,13,4,5:10:03 PM,13,4,5:14:41 PM,13,4,5:14:45 PM,3,22.7,,-1.2551895,36.7822034,-1.256522,36.7864132,536,4
25221,3222,Bike,3,Business,27,3,9:40:58 AM,27,3,9:42:00 AM,27,3,9:50:40 AM,27,3,9:55:57 AM,27,3,10:13:32 AM,8,,,-1.2551895,36.7822034,-1.2964348,36.8182757,953,1055
22790,1271,Bike,3,Business,17,2,1:07:06 PM,17,2,1:07:36 PM,17,2,1:24:42 PM,17,2,1:25:49 PM,17,2,1:56:24 PM,28,19.2,,-1.3244885,36.897792,-1.3107918,36.761794,650,1835
310,893,Bike,3,Business,14,5,12:49:23 PM,14,5,2:34:49 PM,14,5,3:10:48 PM,14,5,3:12:55 PM,14,5,3:47:48 PM,8,23.9,,-1.2663194,36.809901,-1.2985153,36.7876043,441,2093
14114,909,Bike,3,Business,5,5,1:05:35 PM,5,5,1:06:06 PM,5,5,1:12:13 PM,5,5,1:23:52 PM,5,5,1:55:30 PM,10,24.7,,-1.225322,36.80855,-1.2653185,36.8358841,108,1898
7973,3730,Bike,2,Personal,15,1,12:22:21 PM,15,1,12:22:42 PM,15,1,12:49:50 PM,15,1,12:57:53 PM,15,1,1:16:54 PM,8,,,-1.3929709,36.7504644,-1.3440693,36.7518442,328,1141
17495,2982,Bike,3,Business,8,5,10:17:51 AM,8,5,10:18:18 AM,8,5,10:25:16 AM,8,5,10:43:06 AM,8,5,11:30:13 AM,18,28.2,,-1.300921,36.828195,-1.177202,36.8351183,519,2827
7925,113,Bike,1,Business,10,5,10:53:35 AM,10,5,10:53:39 AM,10,5,11:00:25 AM,10,5,11:03:12 AM,10,5,11:23:32 AM,8,19.1,,-1.2844653,36.8206676,-1.2963097,36.7688221,229,1220
24544,1051,Bike,3,Business,19,1,9:45:43 AM,19,1,10:34:59 AM,19,1,10:38:29 AM,19,1,11:06:36 AM,19,1,11:45:43 AM,8,24.6,,-1.2891922,36.825189,-1.2963097,36.7688221,462,2347
8642,20,Bike,3,Business,1,3,10:58:13 AM,1,3,10:59:23 AM,1,3,11:05:37 AM,1,3,11:14:16 AM,1,3,11:28:14 AM,2,20.1,,-1.2628638,36.8070399,-1.263419,36.8060348,208,838
24325,2069,Bike,3,Business,27,3,11:06:06 AM,27,3,11:07:19 AM,27,3,11:26:44 AM,27,3,11:31:44 AM,27,3,11:48:43 AM,9,26.3,,-1.265715,36.823815,-1.228911,36.881876,269,1019
12251,1976,Bike,3,Business,15,6,9:43:01 AM,15,6,9:43:16 AM,15,6,9:55:41 AM,15,6,10:03:17 AM,15,6,10:23:28 AM,14,17.7,,-1.326471,36.8487849,-1.257028,36.7810435,882,1211
25240,517,Bike,3,Business,4,5,10:08:16 AM,4,5,10:08:43 AM,4,5,10:11:56 AM,4,5,10:17:54 AM,4,5,10:39:30 AM,11,17.3,0.4,-1.3167113,36.8301563,-1.2574219,36.7927073,523,1296
4994,3470,Bike,3,Business,8,3,5:40:32 PM,8,3,5:42:44 PM,8,3,5:42:48 PM,8,3,5:52:13 PM,8,3,7:03:46 PM,11,,,-1.28878,36.8168312,-1.2916953,36.8855273,61,4293
28233,1224,Bike,1,Personal,22,5,12:48:44 PM,22,5,12:49:40 PM,22,5,12:52:47 PM,22,5,1:04:16 PM,22,5,1:20:13 PM,3,21.9,,-1.304033,36.7848695,-1.2923533,36.7883364,474,957
21811,2179,Bike,3,Business,7,4,10:25:56 AM,7,4,10:26:20 AM,7,4,10:42:53 AM,7,4,10:52:17 AM,7,4,10:58:47 AM,2,24.5,,-1.2527958,36.8003131,-1.2571472,36.7950633,547,390
28095,633,Bike,3,Business,16,3,2:29:26 PM,16,3,2:30:29 PM,16,3,2:46:02 PM,16,3,3:01:39 PM,16,3,3:09:49 PM,4,26.9,,-1.3077869,36.8443207,-1.3004062,36.829741,188,490
1297,893,Bike,3,Business,5,1,10:21:12 AM,5,1,10:21:59 AM,5,1,10:25:13 AM,5,1,10:31:12 AM,5,1,10:47:46 AM,9,18.4,,-1.2594474,36.8089122,-1.2273124,36.8163603,101,994
27629,598,Bike,1,Business,21,1,5:35:02 PM,21,1,5:36:17 PM,21,1,5:51:53 PM,21,1,5:55:28 PM,21,1,6:41:54 PM,4,,,-1.2536797,36.7995085,-1.2653906,36.8134406,668,2786
1210,435,Bike,3,Business,14,5,11:27:53 AM,14,5,11:35:27 AM,14,5,11:49:13 AM,14,5,11:58:22 AM,14,5,12:12:29 PM,7,22.0,,-1.300921,36.828195,-1.3271684,36.8173021,76,847
4354,959,Bike,2,Personal,18,4,1:00:14 PM,18,4,1:01:22 PM,18,4,1:20:58 PM,18,4,1:31:48 PM,18,4,1:59:29 PM,6,25.7,,-1.281892,36.7834972,-1.2544802,36.8111822,565,1661
17165,633,Bike,3,Business,6,3,11:14:59 AM,6,3,11:15:17 AM,6,3,11:38:00 AM,6,3,11:41:30 AM,6,3,11:51:25 AM,4,,,-1.3077869,36.8443207,-1.3004062,36.829741,448,595
18585,867,Bike,3,Business,14,4,10:23:23 AM,14,4,10:23:32 AM,14,4,10:23:45 AM,14,4,10:38:56 AM,14,4,11:11:38 AM,15,23.7,,-1.2991441,36.7528804,-1.3228003,36.8306435,39,1962
12918,2200,Bike,3,Business,18,2,1:32:46 PM,18,2,1:33:09 PM,18,2,1:44:02 PM,18,2,1:51:06 PM,18,2,2:38:59 PM,11,25.8,,-1.2927792,36.9053492,-1.290894,36.822971,231,2873
26182,1927,Bike,3,Business,14,1,3:42:01 PM,14,1,3:45:43 PM,14,1,4:03:04 PM,14,1,4:10:55 PM,14,1,4:38:46 PM,19,25.6,,-1.2859912,36.8756811,-1.3404187,36.7614685,720,1671
5424,1218,Bike,2,Personal,27,5,9:27:36 AM,27,5,9:50:43 AM,27,5,10:13:00 AM,27,5,10:14:36 AM,27,5,10:51:58 AM,19,16.2,,-1.3605299,36.7579536,-1.2630828,36.8050538,194,2242
9322,970,Bike,3,Business,7,4,3:34:03 PM,7,4,3:34:18 PM,7,4,3:41:51 PM,7,4,3:47:43 PM,7,4,4:33:10 PM,19,31.0,,-1.2571472,36.7950633,-1.3325582,36.7406697,401,2727
2401,478,Bike,3,Business,8,5,11:16:38 AM,8,5,11:18:06 AM,8,5,11:25:50 AM,8,5,11:33:00 AM,8,5,12:40:05 PM,15,28.2,,-1.2551895,36.7822034,-1.3278522,36.8711134,147,4025
2393,393,Bike,3,Business,8,4,10:58:27 AM,8,4,10:58:43 AM,8,4,10:58:48 AM,8,4,11:22:52 AM,8,4,12:11:30 PM,14,26.2,,-1.3177547,36.8303703,-1.306378,36.7519845,239,2918
4823,2929,Bike,3,Business,11,2,11:44:46 AM,11,2,1:31:36 PM,11,2,1:32:02 PM,11,2,1:51:06 PM,11,2,1:51:20 PM,5,25.7,,-1.269534,36.80697,-1.2551895,36.7822034,185,14
13324,824,Bike,1,Business,14,7,1:49:56 PM,14,7,1:50:37 PM,14,7,2:06:44 PM,14,7,2:09:55 PM,14,7,2:21:14 PM,8,28.6,,-1.2248308,36.8012573,-1.207546,36.7913976,743,679
27621,2956,Bike,3,Business,2,1,12:11:07 PM,2,1,12:17:58 PM,2,1,12:24:00 PM,2,1,12:26:08 PM,2,1,12:39:29 PM,5,19.3,,-1.2584143,36.8048002,-1.2885315,36.8230419,726,801
23062,1796,Bike,3,Business,18,4,9:45:36 AM,18,4,9:52:02 AM,18,4,10:04:47 AM,18,4,10:17:20 AM,18,4,10:40:01 AM,11,,,-1.265715,36.823815,-1.331619,36.847976,710,1361
8724,2987,Bike,3,Business,7,3,11:12:58 AM,7,3,11:19:32 AM,7,3,11:31:13 AM,7,3,11:34:33 AM,7,3,11:57:02 AM,8,25.2,,-1.270212,36.8210877,-1.3271374,36.8495534,949,1349
23720,391,Bike,3,Business,23,2,1:00:31 PM,23,2,1:00:50 PM,23,2,1:18:47 PM,23,2,1:47:23 PM,23,2,1:47:27 PM,4,,,-1.2839729,36.8115146,-1.2867454,36.8259017,613,4
5762,2150,Bike,3,Business,2,3,12:38:22 PM,2,3,12:38:47 PM,2,3,12:51:18 PM,2,3,12:56:37 PM,2,3,1:45:16 PM,23,24.0,,-1.228911,36.881876,-1.344446,36.756597,75,2919
21200,2358,Bike,4,Business,18,4,12:34:58 PM,18,4,12:35:03 PM,18,4,12:36:47 PM,18,4,12:48:39 PM,18,4,1:07:46 PM,12,25.5,,-1.346286,36.768793,-1.293973,36.80169,622,1147
11711,1450,Bike,3,Personal,28,4,12:27:06 PM,28,4,12:28:16 PM,28,4,12:41:14 PM,28,4,12:46:22 PM,28,4,1:01:41 PM,3,,,-1.2995135,36.7933633,-1.2952784,36.7793271,124,919
17131,393,Bike,3,Business,27,2,10:13:14 AM,27,2,10:47:17 AM,27,2,10:54:59 AM,27,2,11:23:01 AM,27,2,11:53:49 AM,14,23.6,,-1.3177547,36.8303703,-1.306378,36.7519845,878,1848
27235,134,Bike,3,Business,28,4,3:10:47 PM,28,4,3:11:23 PM,28,4,3:20:47 PM,28,4,3:25:07 PM,28,4,3:37:35 PM,5,30.1,,-1.2609745,36.7886626,-1.2743958,36.8215915,785,748
10820,1281,Bike,3,Business,25,2,10:49:53 AM,25,2,10:52:27 AM,25,2,11:04:30 AM,25,2,11:19:26 AM,25,2,12:20:53 PM,9,23.9,,-1.2869041,36.8240057,-1.2706815,36.7646286,532,3687
2255,419,Bike,3,Business,3,3,1:54:12 PM,3,3,1:56:02 PM,3,3,1:56:25 PM,3,3,2:31:08 PM,3,3,2:44:52 PM,7,26.7,,-1.2886923,36.8241519,-1.2571472,36.7950633,6,824
15634,3560,Bike,3,Business,24,5,3:10:32 PM,24,5,3:12:10 PM,24,5,3:12:59 PM,24,5,3:17:43 PM,24,5,4:42:48 PM,18,22.8,,-1.3705766,36.9120742,-1.279395,36.825364,564,5105
13979,1578,Bike,3,Business,5,1,3:20:54 PM,5,1,3:22:01 PM,5,1,3:43:03 PM,5,1,3:48:49 PM,5,1,4:13:36 PM,5,25.8,,-1.28878,36.8168312,-1.2597529,36.806629,795,1487
14861,1187,Bike,1,Personal,17,1,10:40:49 AM,17,1,10:53:09 AM,17,1,11:11:00 AM,17,1,11:19:50 AM,17,1,11:48:04 AM,4,25.2,,-1.3025958,36.8614441,-1.3302867,36.8542859,810,1694
18800,1329,Bike,3,Business,13,1,3:18:01 PM,13,1,3:22:55 PM,13,1,3:33:57 PM,13,1,3:37:17 PM,13,1,3:59:04 PM,6,,,-1.273056,36.811298,-1.2370629,36.7981962,161,1307
26616,2523,Bike,3,Business,13,1,9:13:15 AM,13,1,9:13:53 AM,13,1,9:18:28 AM,13,1,9:19:53 AM,13,1,10:03:34 AM,20,,,-1.2551895,36.7822034,-1.3251247,36.8995926,190,2621
20962,3544,Bike,2,Personal,18,5,6:52:38 PM,18,5,7:28:20 PM,18,5,7:42:19 PM,18,5,8:01:32 PM,18,5,8:21:28 PM,4,19.3,,-1.25537,36.7756,-1.271377,36.7884294,103,1196
11708,517,Bike,3,Business,30,4,10:14:36 AM,30,4,10:15:05 AM,30,4,10:27:30 AM,30,4,10:47:24 AM,30,4,10:59:48 AM,4,,,-1.3228003,36.8306435,-1.3004062,36.829741,349,744
1567,186,Bike,3,Business,5,2,3:37:08 PM,5,2,3:42:48 PM,5,2,4:09:12 PM,5,2,4:14:13 PM,5,2,4:36:57 PM,6,27.7,,-1.2571472,36.7950633,-1.2925919,36.8170577,85,1364
23834,3621,Bike,3,Business,19,2,8:35:26 AM,19,2,8:35:42 AM,19,2,8:38:54 AM,19,2,8:44:23 AM,19,2,8:49:51 AM,4,21.3,,-1.2836583,36.7886014,-1.2913246,36.8019522,247,328
26496,393,Bike,3,Business,8,5,10:42:55 AM,8,5,10:43:41 AM,8,5,10:47:05 AM,8,5,10:51:57 AM,8,5,11:16:52 AM,11,28.6,,-1.3167113,36.8301563,-1.2638185,36.7930057,411,1495
9169,598,Bike,1,Business,19,2,4:56:04 PM,19,2,4:58:35 PM,19,2,5:07:03 PM,19,2,5:11:38 PM,19,2,5:39:51 PM,6,19.7,,-1.2536042,36.8064895,-1.2668265,36.7680484,427,1693
1570,517,Bike,3,Business,29,3,10:10:45 AM,29,3,10:12:06 AM,29,3,10:32:48 AM,29,3,10:39:04 AM,29,3,11:10:58 AM,14,,,-1.3228003,36.8306435,-1.2991441,36.7528804,829,1914
63,3621,Bike,3,Business,30,6,9:15:37 AM,30,6,9:16:22 AM,30,6,9:28:46 AM,30,6,9:33:10 AM,30,6,10:07:23 AM,9,,,-1.2836583,36.7886014,-1.3222535,36.8246176,508,2053
12953,49,Bike,3,Business,27,4,2:49:57 PM,27,4,2:56:02 PM,27,4,3:04:43 PM,27,4,3:08:39 PM,27,4,3:36:08 PM,10,23.7,,-1.2790196,36.8160867,-1.2906539,36.7523571,21,1649
15454,797,Bike,3,Business,18,3,7:53:59 AM,18,3,7:54:13 AM,18,3,7:58:02 AM,18,3,8:03:53 AM,18,3,8:37:21 AM,15,14.5,,-1.2551895,36.7822034,-1.2686837,36.8891847,116,2008
15476,867,Bike,3,Business,18,2,11:39:06 AM,18,2,12:13:11 PM,18,2,12:15:50 PM,18,2,12:28:06 PM,18,2,12:54:05 PM,10,,,-1.2996533,36.8292629,-1.2991441,36.7528804,555,1559
22769,247,Bike,3,Personal,27,4,2:35:20 PM,27,4,2:36:26 PM,27,4,2:48:39 PM,27,4,3:03:15 PM,27,4,3:06:50 PM,4,25.2,,-1.2850644,36.8343657,-1.290026,36.8165275,531,215
14296,2676,Bike,3,Business,18,1,1:47:49 PM,18,1,1:52:32 PM,18,1,2:15:48 PM,18,1,2:19:36 PM,18,1,2:53:12 PM,7,30.8,,-1.3047473,36.830562,-1.2963097,36.7688221,448,2016
23454,2587,Bike,3,Business,16,2,2:25:06 PM,16,2,3:03:53 PM,16,2,3:22:34 PM,16,2,3:23:52 PM,16,2,3:41:24 PM,6,,,-1.2765736,36.8513646,-1.28878,36.8168312,438,1052
19485,1761,Bike,3,Business,5,2,10:42:42 AM,5,2,11:04:08 AM,5,2,11:13:21 AM,5,2,11:20:25 AM,5,2,11:53:24 AM,17,23.8,,-1.3339943,36.7263409,-1.2830989,36.8165739,952,1979
11002,2030,Bike,3,Business,10,3,9:26:03 AM,10,3,9:26:41 AM,10,3,9:26:48 AM,10,3,9:31:53 AM,10,3,9:38:09 AM,2,21.7,,-1.2963097,36.7688221,-1.2969741,36.7856612,438,376
