City,Colors Reported,Shape Reported,State,Time,IN-December,Time_Diff_From_WW1
Evergreen,,CIRCLE,CO,1952-07-07 10:00:00,False,13859 days 10:00:00
Arlington,,DISK,TX,1952-07-07 13:00:00,False,13859 days 13:00:00
Arlington,GREEN,OVAL,VA,1952-07-13 21:00:00,False,13865 days 21:00:00
Wilmington,,DISK,CA,1952-07-15 12:00:00,False,13867 days 12:00:00
,,DISK,CA,1952-07-15 12:30:00,False,13867 days 12:30:00
Litchfield,,OTHER,PA,1952-07-15 13:00:00,False,13867 days 13:00:00
South Gate,,CIRCLE,CA,1952-07-15 14:00:00,False,13867 days 14:00:00
North Bend,,OTHER,WA,1952-07-15 18:30:00,False,13867 days 18:30:00
New York City,,OTHER,NY,1952-07-15 19:00:00,False,13867 days 19:00:00
Okolona,,OVAL,MS,1952-07-22 09:30:00,False,13874 days 09:30:00
Tacoma,,SPHERE,WA,1952-07-25 16:00:00,False,13877 days 16:00:00
Manville,,SPHERE,RI,1952-07-30 15:00:00,False,13882 days 15:00:00
Tampa,,OVAL,FL,1952-08-01 21:30:00,False,13884 days 21:30:00
Smithson's Valley,,CIGAR,TX,1952-08-15 17:00:00,False,13898 days 17:00:00
Prairie Grove,,DISK,AR,1952-08-15 17:30:00,False,13898 days 17:30:00
Hamilton,,LIGHT,OH,1952-08-15 22:15:00,False,13898 days 22:15:00
Philadelphia,,CIRCLE,PA,1952-09-09 20:00:00,False,13923 days 20:00:00
Norridgewock,,DISK,ME,1952-09-15 14:00:00,False,13929 days 14:00:00
Kansas City,,DISK,MO,1952-10-01 12:00:00,False,13945 days 12:00:00
Richland,,CIRCLE,WA,1952-10-15 21:00:00,False,13959 days 21:00:00
Chicago,,OTHER,IL,1952-12-06 19:00:00,True,14011 days 19:00:00
Camp McCoy,,CYLINDER,WI,1952-12-30 12:00:00,True,14035 days 12:00:00
Nebraska,,,NE,1953-01-01 00:00:00,False,14037 days 00:00:00
Oklahoma,,CIGAR,TX,1953-01-01 14:00:00,False,14037 days 14:00:00
Palm Springs,,,CA,1953-03-15 00:00:00,False,14110 days 00:00:00
Haverhill,,CHEVRON,MA,1953-04-01 15:00:00,False,14127 days 15:00:00
Cambridge,RED,SPHERE,MA,1953-04-01 18:00:00,False,14127 days 18:00:00
Chariton,,OTHER,IA,1953-04-10 13:00:00,False,14136 days 13:00:00
Los Angeles,,FIREBALL,CA,1953-04-15 12:00:00,False,14141 days 12:00:00
Midwest City,YELLOW,FIREBALL,OK,1953-04-15 16:00:00,False,14141 days 16:00:00
Jamison,,CIGAR,PA,1953-04-30 16:00:00,False,14156 days 16:00:00
Kingman,,,AZ,1953-05-20 08:00:00,False,14176 days 08:00:00
Fresno,,,CA,1953-06-01 21:00:00,False,14188 days 21:00:00
Roswell,,,NM,1953-06-15 00:00:00,False,14202 days 00:00:00
Wenatchee,,DISK,WA,1953-06-15 12:00:00,False,14202 days 12:00:00
Fort Worth,,SPHERE,TX,1953-06-15 13:00:00,False,14202 days 13:00:00
North Bend,,CIRCLE,WA,1953-06-15 18:00:00,False,14202 days 18:00:00
Galveston,,CIGAR,TX,1953-06-17 07:30:00,False,14204 days 07:30:00
Cleveland,RED,FIREBALL,OH,1953-06-30 00:00:00,False,14217 days 00:00:00
Kelso,,OVAL,WA,1953-06-30 15:00:00,False,14217 days 15:00:00
Colorado Springs,,DISK,CO,1953-07-01 05:30:00,False,14218 days 05:30:00
,BLUE,DISK,MT,1953-07-04 14:00:00,False,14221 days 14:00:00
Ogallala,,OTHER,NE,1953-07-04 21:00:00,False,14221 days 21:00:00
Nashville,,CYLINDER,TN,1953-07-15 13:00:00,False,14232 days 13:00:00
Dublin,,CONE,IN,1953-07-17 22:00:00,False,14234 days 22:00:00
Berkeley,,FIREBALL,MO,1953-08-01 12:00:00,False,14249 days 12:00:00
"San Bernadino Mtns, Church Camp",,DISK,CA,1953-08-01 14:00:00,False,14249 days 14:00:00
Vallejo,,LIGHT,CA,1953-08-07 21:00:00,False,14255 days 21:00:00
Louisville,,CIRCLE,KY,1953-08-15 11:00:00,False,14263 days 11:00:00
Artesia,ORANGE,OTHER,NM,1953-08-15 19:00:00,False,14263 days 19:00:00
Bowleys Quarters,,SPHERE,MD,1953-08-15 21:00:00,False,14263 days 21:00:00
Homer,,,PA,1953-09-15 14:00:00,False,14294 days 14:00:00
Mauriceville,,DISK,TX,1953-10-15 14:00:00,False,14324 days 14:00:00
New Orleans,,OVAL,LA,1953-10-31 19:00:00,False,14340 days 19:00:00
Cicero,,OTHER,IL,1953-11-13 20:00:00,False,14353 days 20:00:00
Keansburg,,CIRCLE,NJ,1953-11-15 03:00:00,False,14355 days 03:00:00
Pendleton,GREEN,DISK,IN,1953-11-21 22:30:00,False,14361 days 22:30:00
Lackland Air Force Base,,DISK,TX,1953-11-25 04:25:00,False,14365 days 04:25:00
Brunswick,,,ME,1954-01-01 00:00:00,False,14402 days 00:00:00
Lakeland,,DISK,FL,1954-01-01 01:00:00,False,14402 days 01:00:00
Souix City,,CIRCLE,IA,1954-01-01 22:00:00,False,14402 days 22:00:00
Santa Monica,,LIGHT,CT,1954-01-15 20:00:00,False,14416 days 20:00:00
Fairbanks,,,AK,1954-02-01 02:00:00,False,14433 days 02:00:00
Burney,,DISK,CA,1954-02-15 19:30:00,False,14447 days 19:30:00
Stanford Campus,,DISK,CA,1954-04-01 22:00:00,False,14492 days 22:00:00
Corvallis,,DIAMOND,OR,1954-05-15 12:00:00,False,14536 days 12:00:00
Quincy,,DISK,IL,1954-05-26 04:30:00,False,14547 days 04:30:00
Houston,,DISK,TX,1954-06-01 00:00:00,False,14553 days 00:00:00
Ovid,,DISK,NY,1954-06-01 06:00:00,False,14553 days 06:00:00
Springfield,,CYLINDER,IL,1954-06-01 08:00:00,False,14553 days 08:00:00
El Cerrito,,LIGHT,CA,1954-06-01 19:00:00,False,14553 days 19:00:00
Toledo,,DISK,OH,1954-06-01 19:00:00,False,14553 days 19:00:00
Norfolk,,DISK,VA,1954-06-01 20:00:00,False,14553 days 20:00:00
Philadelphia,,DISK,PA,1954-06-01 20:00:00,False,14553 days 20:00:00
Fish Canyon,,LIGHT,CA,1954-06-01 23:00:00,False,14553 days 23:00:00
Atlanta,,DISK,GA,1954-06-06 10:00:00,False,14558 days 10:00:00
Estes Park,,CIGAR,CO,1954-06-10 20:00:00,False,14562 days 20:00:00
Glenburn,,,ME,1954-06-11 02:00:00,False,14563 days 02:00:00
Palm Beach,,LIGHT,CA,1954-06-15 11:00:00,False,14567 days 11:00:00
Claymont,,DISK,DE,1954-06-15 11:45:00,False,14567 days 11:45:00
Ellington AFB,,DISK,TX,1954-06-15 16:30:00,False,14567 days 16:30:00
Lorton,,OTHER,VA,1954-06-23 02:00:00,False,14575 days 02:00:00
Langley Air Force Base,,CIRCLE,VA,1954-06-23 23:00:00,False,14575 days 23:00:00
Thrifty,,CIRCLE,TX,1954-06-25 03:30:00,False,14577 days 03:30:00
Marion,,CIRCLE,VA,1954-06-30 00:00:00,False,14582 days 00:00:00
Methuen,,,MA,1954-06-30 00:00:00,False,14582 days 00:00:00
Hawthorne,,LIGHT,CA,1954-06-30 12:00:00,False,14582 days 12:00:00
Pasadena,,CIRCLE,CA,1954-06-30 15:00:00,False,14582 days 15:00:00
St. Louis Airport,RED,OVAL,MO,1954-07-01 21:00:00,False,14583 days 21:00:00
Los Angeles,RED,CIRCLE,CA,1954-07-01 22:00:00,False,14583 days 22:00:00
Walnut Creek,,,CA,1954-07-07 20:00:00,False,14589 days 20:00:00
West Columbia,,FORMATION,SC,1954-07-07 22:00:00,False,14589 days 22:00:00
Morroco,,VARIOUS,IN,1954-07-12 17:30:00,False,14594 days 17:30:00
Philadelphia,,DISK,PA,1954-07-15 11:00:00,False,14597 days 11:00:00
Greenfield,,CIGAR,IN,1954-07-15 14:00:00,False,14597 days 14:00:00
Kansas City,,CHEVRON,KS,1954-07-15 21:00:00,False,14597 days 21:00:00
Oakdale,,DISK,NY,1954-07-15 21:00:00,False,14597 days 21:00:00
Bridge Hampton,,LIGHT,NY,1954-07-15 22:00:00,False,14597 days 22:00:00
Farmingdale,,OVAL,NY,1954-08-01 12:00:00,False,14614 days 12:00:00
Dyer,,TRIANGLE,IN,1954-08-01 17:00:00,False,14614 days 17:00:00
Canton,,DISK,PA,1954-08-01 21:00:00,False,14614 days 21:00:00
North Hollywood,,LIGHT,CA,1954-08-01 22:00:00,False,14614 days 22:00:00
Puyallup,,OVAL,WA,1954-08-15 21:00:00,False,14628 days 21:00:00
Geneva,,DISK,NY,1954-09-01 13:00:00,False,14645 days 13:00:00
Beaumont,RED,DISK,TX,1954-09-09 12:30:00,False,14653 days 12:30:00
Palmer Township,,OTHER,PA,1954-09-15 09:30:00,False,14659 days 09:30:00
Flatwoods,,CIRCLE,WV,1954-10-01 19:00:00,False,14675 days 19:00:00
Blanco,,OTHER,TX,1954-10-15 16:30:00,False,14689 days 16:30:00
Manistee,,CIRCLE,MI,1954-10-15 21:30:00,False,14689 days 21:30:00
Denver,,FIREBALL,CO,1954-11-01 18:30:00,False,14706 days 18:30:00
Thelma,,DISK,TX,1954-11-14 01:00:00,False,14719 days 01:00:00
Red Bank,ORANGE,CIRCLE,NJ,1954-12-15 23:10:00,True,14750 days 23:10:00
Yucaipa,,OVAL,CA,1954-12-16 16:50:00,True,14751 days 16:50:00
New York City,,LIGHT,NY,1955-02-15 19:00:00,False,14812 days 19:00:00
Holbrook,YELLOW,EGG,MA,1955-05-01 15:00:00,False,14887 days 15:00:00
Warrington,,FIREBALL,FL,1955-05-15 03:00:00,False,14901 days 03:00:00
Homaland,,CIRCLE,CA,1955-06-01 00:00:00,False,14918 days 00:00:00
Bagley,,CIRCLE,MN,1955-06-01 02:00:00,False,14918 days 02:00:00
Cincinnati,,DISK,OH,1955-06-01 15:29:00,False,14918 days 15:29:00
Martinez,,CIRCLE,CA,1955-06-01 17:00:00,False,14918 days 17:00:00
Clinton,,EGG,TN,1955-06-01 20:30:00,False,14918 days 20:30:00
Pensacola,,LIGHT,FL,1955-06-06 01:00:00,False,14923 days 01:00:00
South St. Paul,,DISK,MN,1955-06-15 00:00:00,False,14932 days 00:00:00
Terre Haute,ORANGE,CIRCLE,IN,1955-06-15 00:00:00,False,14932 days 00:00:00
Missouri,,LIGHT,MO,1955-06-15 04:30:00,False,14932 days 04:30:00
Youngstown,,,PA,1955-06-15 08:00:00,False,14932 days 08:00:00
Daytona Beach,,FIREBALL,FL,1955-06-15 21:00:00,False,14932 days 21:00:00
Rantoul,,LIGHT,IL,1955-06-17 07:00:00,False,14934 days 07:00:00
Beach Haven Park,,DISK,NJ,1955-06-23 07:00:00,False,14940 days 07:00:00
Quartz Hill,,DISK,CA,1955-06-30 00:00:00,False,14947 days 00:00:00
Lubbock,,CIGAR,TX,1955-06-30 13:00:00,False,14947 days 13:00:00
Dumas,,LIGHT,TX,1955-06-30 21:00:00,False,14947 days 21:00:00
Morehead City,,DISK,NC,1955-06-30 21:00:00,False,14947 days 21:00:00
Carnation,,DISK,WA,1955-07-01 14:00:00,False,14948 days 14:00:00
Dierks,,CIGAR,AR,1955-07-01 22:00:00,False,14948 days 22:00:00
Woodland Park,,OVAL,CO,1955-07-15 14:00:00,False,14962 days 14:00:00
Ringold,,LIGHT,LA,1955-07-15 22:00:00,False,14962 days 22:00:00
